Tên cảm biến,Giá trị,Thời gian
DiscomfortIndex,82.81,2025-04-25 04:03:43
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:43
temperature,25.58,2025-04-25 04:03:44
Humidity,53.06,2025-04-25 04:03:44
Illuminance,262,2025-04-25 04:03:44
AtmosphericPressure,1010.136,2025-04-25 04:03:44
Noise,64.55,2025-04-25 04:03:44
eTVOC,97,2025-04-25 04:03:44
eCO2,1041,2025-04-25 04:03:44
DiscomfortIndex,82.81,2025-04-25 04:03:44
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:44
temperature,25.58,2025-04-25 04:03:45
Humidity,53.06,2025-04-25 04:03:45
Illuminance,262,2025-04-25 04:03:45
AtmosphericPressure,1010.136,2025-04-25 04:03:45
Noise,64.55,2025-04-25 04:03:45
eTVOC,97,2025-04-25 04:03:45
eCO2,1041,2025-04-25 04:03:45
DiscomfortIndex,82.81,2025-04-25 04:03:45
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:45
temperature,25.57,2025-04-25 04:03:46
Humidity,53.09,2025-04-25 04:03:46
Illuminance,262,2025-04-25 04:03:46
AtmosphericPressure,1010.136,2025-04-25 04:03:46
Noise,64.97,2025-04-25 04:03:46
eTVOC,97,2025-04-25 04:03:46
eCO2,1041,2025-04-25 04:03:46
DiscomfortIndex,82.8,2025-04-25 04:03:46
HeatstrokeRiskLevel,27.86,2025-04-25 04:03:46
temperature,25.57,2025-04-25 04:03:47
Humidity,53.09,2025-04-25 04:03:47
Illuminance,262,2025-04-25 04:03:47
AtmosphericPressure,1010.136,2025-04-25 04:03:47
Noise,64.97,2025-04-25 04:03:47
eTVOC,97,2025-04-25 04:03:47
eCO2,1041,2025-04-25 04:03:47
DiscomfortIndex,82.8,2025-04-25 04:03:47
HeatstrokeRiskLevel,27.86,2025-04-25 04:03:47
temperature,25.57,2025-04-25 04:03:48
Humidity,53.09,2025-04-25 04:03:48
Illuminance,262,2025-04-25 04:03:48
AtmosphericPressure,1010.136,2025-04-25 04:03:48
Noise,64.97,2025-04-25 04:03:48
eTVOC,97,2025-04-25 04:03:48
eCO2,1041,2025-04-25 04:03:48
DiscomfortIndex,82.8,2025-04-25 04:03:48
HeatstrokeRiskLevel,27.86,2025-04-25 04:03:48
temperature,25.58,2025-04-25 04:03:49
Humidity,53.07,2025-04-25 04:03:49
Illuminance,262,2025-04-25 04:03:49
AtmosphericPressure,1010.13,2025-04-25 04:03:49
Noise,69.67,2025-04-25 04:03:49
eTVOC,97,2025-04-25 04:03:49
eCO2,1041,2025-04-25 04:03:49
DiscomfortIndex,82.85,2025-04-25 04:03:49
HeatstrokeRiskLevel,27.9,2025-04-25 04:03:49
temperature,25.58,2025-04-25 04:03:50
Humidity,53.07,2025-04-25 04:03:50
Illuminance,262,2025-04-25 04:03:50
AtmosphericPressure,1010.13,2025-04-25 04:03:50
Noise,69.67,2025-04-25 04:03:50
eTVOC,97,2025-04-25 04:03:50
eCO2,1041,2025-04-25 04:03:50
DiscomfortIndex,82.85,2025-04-25 04:03:50
HeatstrokeRiskLevel,27.9,2025-04-25 04:03:50
temperature,25.58,2025-04-25 04:03:51
Humidity,53.07,2025-04-25 04:03:51
Illuminance,262,2025-04-25 04:03:51
AtmosphericPressure,1010.13,2025-04-25 04:03:51
Noise,69.67,2025-04-25 04:03:51
eTVOC,97,2025-04-25 04:03:51
eCO2,1041,2025-04-25 04:03:51
DiscomfortIndex,82.85,2025-04-25 04:03:51
HeatstrokeRiskLevel,27.9,2025-04-25 04:03:51
temperature,25.63,2025-04-25 04:03:52
Humidity,52.95,2025-04-25 04:03:52
Illuminance,262,2025-04-25 04:03:52
AtmosphericPressure,1010.13,2025-04-25 04:03:52
Noise,68.1,2025-04-25 04:03:52
eTVOC,101,2025-04-25 04:03:52
eCO2,1065,2025-04-25 04:03:52
DiscomfortIndex,82.82,2025-04-25 04:03:52
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:52
temperature,25.63,2025-04-25 04:03:53
Humidity,52.95,2025-04-25 04:03:53
Illuminance,262,2025-04-25 04:03:53
AtmosphericPressure,1010.13,2025-04-25 04:03:53
Noise,68.1,2025-04-25 04:03:53
eTVOC,101,2025-04-25 04:03:53
eCO2,1065,2025-04-25 04:03:53
DiscomfortIndex,82.82,2025-04-25 04:03:53
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:53
temperature,25.63,2025-04-25 04:03:54
Humidity,52.95,2025-04-25 04:03:54
Illuminance,262,2025-04-25 04:03:54
AtmosphericPressure,1010.13,2025-04-25 04:03:54
Noise,68.1,2025-04-25 04:03:54
eTVOC,101,2025-04-25 04:03:54
eCO2,1065,2025-04-25 04:03:54
DiscomfortIndex,82.82,2025-04-25 04:03:54
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:54
temperature,25.61,2025-04-25 04:03:55
Humidity,53.01,2025-04-25 04:03:55
Illuminance,262,2025-04-25 04:03:55
AtmosphericPressure,1010.128,2025-04-25 04:03:55
Noise,69.67,2025-04-25 04:03:55
eTVOC,101,2025-04-25 04:03:55
eCO2,1065,2025-04-25 04:03:55
DiscomfortIndex,82.8,2025-04-25 04:03:55
HeatstrokeRiskLevel,27.86,2025-04-25 04:03:55
temperature,25.61,2025-04-25 04:03:56
Humidity,53.01,2025-04-25 04:03:56
Illuminance,262,2025-04-25 04:03:56
AtmosphericPressure,1010.128,2025-04-25 04:03:56
Noise,69.67,2025-04-25 04:03:56
eTVOC,101,2025-04-25 04:03:56
eCO2,1065,2025-04-25 04:03:56
DiscomfortIndex,82.8,2025-04-25 04:03:56
HeatstrokeRiskLevel,27.86,2025-04-25 04:03:56
temperature,25.61,2025-04-25 04:03:57
Humidity,53.01,2025-04-25 04:03:57
Illuminance,262,2025-04-25 04:03:57
AtmosphericPressure,1010.128,2025-04-25 04:03:57
Noise,69.67,2025-04-25 04:03:57
eTVOC,101,2025-04-25 04:03:57
eCO2,1065,2025-04-25 04:03:57
DiscomfortIndex,82.8,2025-04-25 04:03:57
HeatstrokeRiskLevel,27.86,2025-04-25 04:03:57
temperature,25.59,2025-04-25 04:03:58
Humidity,53.01,2025-04-25 04:03:58
Illuminance,262,2025-04-25 04:03:58
AtmosphericPressure,1010.13,2025-04-25 04:03:58
Noise,72.24,2025-04-25 04:03:58
eTVOC,101,2025-04-25 04:03:58
eCO2,1065,2025-04-25 04:03:58
DiscomfortIndex,82.81,2025-04-25 04:03:58
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:58
temperature,25.59,2025-04-25 04:03:59
Humidity,53.01,2025-04-25 04:03:59
Illuminance,262,2025-04-25 04:03:59
AtmosphericPressure,1010.13,2025-04-25 04:03:59
Noise,72.24,2025-04-25 04:03:59
eTVOC,101,2025-04-25 04:03:59
eCO2,1065,2025-04-25 04:03:59
DiscomfortIndex,82.81,2025-04-25 04:03:59
HeatstrokeRiskLevel,27.87,2025-04-25 04:03:59
temperature,25.59,2025-04-25 04:04:00
Humidity,53.01,2025-04-25 04:04:00
Illuminance,262,2025-04-25 04:04:00
AtmosphericPressure,1010.13,2025-04-25 04:04:00
Noise,72.24,2025-04-25 04:04:00
eTVOC,101,2025-04-25 04:04:00
eCO2,1065,2025-04-25 04:04:00
DiscomfortIndex,82.81,2025-04-25 04:04:00
HeatstrokeRiskLevel,27.87,2025-04-25 04:04:00
temperature,25.6,2025-04-25 04:04:01
Humidity,53.06,2025-04-25 04:04:01
Illuminance,260,2025-04-25 04:04:01
AtmosphericPressure,1010.127,2025-04-25 04:04:01
Noise,58.89,2025-04-25 04:04:01
eTVOC,101,2025-04-25 04:04:01
eCO2,1065,2025-04-25 04:04:01
DiscomfortIndex,82.8,2025-04-25 04:04:01
HeatstrokeRiskLevel,27.86,2025-04-25 04:04:01
temperature,25.6,2025-04-25 04:04:02
Humidity,53.06,2025-04-25 04:04:02
Illuminance,260,2025-04-25 04:04:02
AtmosphericPressure,1010.127,2025-04-25 04:04:02
Noise,58.89,2025-04-25 04:04:02
eTVOC,101,2025-04-25 04:04:02
eCO2,1065,2025-04-25 04:04:02
DiscomfortIndex,82.8,2025-04-25 04:04:02
HeatstrokeRiskLevel,27.86,2025-04-25 04:04:02
temperature,25.6,2025-04-25 04:04:03
Humidity,53.06,2025-04-25 04:04:03
Illuminance,260,2025-04-25 04:04:03
AtmosphericPressure,1010.127,2025-04-25 04:04:03
Noise,58.89,2025-04-25 04:04:03
eTVOC,101,2025-04-25 04:04:03
eCO2,1065,2025-04-25 04:04:03
DiscomfortIndex,82.8,2025-04-25 04:04:03
HeatstrokeRiskLevel,27.86,2025-04-25 04:04:03
temperature,25.59,2025-04-25 04:04:04
Humidity,53.12,2025-04-25 04:04:04
Illuminance,265,2025-04-25 04:04:04
AtmosphericPressure,1010.128,2025-04-25 04:04:04
Noise,59.04,2025-04-25 04:04:04
eTVOC,102,2025-04-25 04:04:04
eCO2,1074,2025-04-25 04:04:04
DiscomfortIndex,82.83,2025-04-25 04:04:04
HeatstrokeRiskLevel,27.87,2025-04-25 04:04:04
temperature,25.59,2025-04-25 04:04:05
Humidity,53.12,2025-04-25 04:04:05
Illuminance,265,2025-04-25 04:04:05
AtmosphericPressure,1010.128,2025-04-25 04:04:05
Noise,59.04,2025-04-25 04:04:05
eTVOC,102,2025-04-25 04:04:05
eCO2,1074,2025-04-25 04:04:05
DiscomfortIndex,82.83,2025-04-25 04:04:05
HeatstrokeRiskLevel,27.87,2025-04-25 04:04:05
temperature,25.59,2025-04-25 04:04:06
Humidity,53.12,2025-04-25 04:04:06
Illuminance,265,2025-04-25 04:04:06
AtmosphericPressure,1010.128,2025-04-25 04:04:06
Noise,59.04,2025-04-25 04:04:06
eTVOC,102,2025-04-25 04:04:06
eCO2,1074,2025-04-25 04:04:06
DiscomfortIndex,82.83,2025-04-25 04:04:06
HeatstrokeRiskLevel,27.87,2025-04-25 04:04:06
temperature,25.59,2025-04-25 04:04:07
Humidity,53.11,2025-04-25 04:04:07
Illuminance,265,2025-04-25 04:04:07
AtmosphericPressure,1010.129,2025-04-25 04:04:07
Noise,52.6,2025-04-25 04:04:07
eTVOC,102,2025-04-25 04:04:07
eCO2,1074,2025-04-25 04:04:07
DiscomfortIndex,82.81,2025-04-25 04:04:07
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:07
temperature,25.59,2025-04-25 04:04:08
Humidity,53.11,2025-04-25 04:04:08
Illuminance,265,2025-04-25 04:04:08
AtmosphericPressure,1010.129,2025-04-25 04:04:08
Noise,52.6,2025-04-25 04:04:08
eTVOC,102,2025-04-25 04:04:08
eCO2,1074,2025-04-25 04:04:08
DiscomfortIndex,82.81,2025-04-25 04:04:08
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:08
temperature,25.59,2025-04-25 04:04:09
Humidity,53.11,2025-04-25 04:04:09
Illuminance,265,2025-04-25 04:04:09
AtmosphericPressure,1010.129,2025-04-25 04:04:09
Noise,52.6,2025-04-25 04:04:09
eTVOC,102,2025-04-25 04:04:09
eCO2,1074,2025-04-25 04:04:09
DiscomfortIndex,82.81,2025-04-25 04:04:09
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:09
temperature,25.59,2025-04-25 04:04:10
Humidity,53.12,2025-04-25 04:04:10
Illuminance,265,2025-04-25 04:04:10
AtmosphericPressure,1010.128,2025-04-25 04:04:10
Noise,67.73,2025-04-25 04:04:10
eTVOC,102,2025-04-25 04:04:10
eCO2,1074,2025-04-25 04:04:10
DiscomfortIndex,82.8,2025-04-25 04:04:10
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:10
temperature,25.59,2025-04-25 04:04:11
Humidity,53.12,2025-04-25 04:04:11
Illuminance,265,2025-04-25 04:04:11
AtmosphericPressure,1010.128,2025-04-25 04:04:11
Noise,67.73,2025-04-25 04:04:11
eTVOC,102,2025-04-25 04:04:11
eCO2,1074,2025-04-25 04:04:11
DiscomfortIndex,82.8,2025-04-25 04:04:11
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:11
temperature,25.59,2025-04-25 04:04:12
Humidity,53.12,2025-04-25 04:04:12
Illuminance,265,2025-04-25 04:04:12
AtmosphericPressure,1010.128,2025-04-25 04:04:12
Noise,67.73,2025-04-25 04:04:12
eTVOC,102,2025-04-25 04:04:12
eCO2,1074,2025-04-25 04:04:12
DiscomfortIndex,82.8,2025-04-25 04:04:12
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:12
temperature,25.55,2025-04-25 04:04:13
Humidity,53.19,2025-04-25 04:04:13
Illuminance,265,2025-04-25 04:04:13
AtmosphericPressure,1010.125,2025-04-25 04:04:13
Noise,62.41,2025-04-25 04:04:13
eTVOC,103,2025-04-25 04:04:13
eCO2,1081,2025-04-25 04:04:13
DiscomfortIndex,82.79,2025-04-25 04:04:13
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:13
temperature,25.55,2025-04-25 04:04:14
Humidity,53.19,2025-04-25 04:04:14
Illuminance,265,2025-04-25 04:04:14
AtmosphericPressure,1010.125,2025-04-25 04:04:14
Noise,62.41,2025-04-25 04:04:14
eTVOC,103,2025-04-25 04:04:14
eCO2,1081,2025-04-25 04:04:14
DiscomfortIndex,82.79,2025-04-25 04:04:14
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:14
temperature,25.55,2025-04-25 04:04:15
Humidity,53.19,2025-04-25 04:04:15
Illuminance,265,2025-04-25 04:04:15
AtmosphericPressure,1010.125,2025-04-25 04:04:15
Noise,62.41,2025-04-25 04:04:15
eTVOC,103,2025-04-25 04:04:15
eCO2,1081,2025-04-25 04:04:15
DiscomfortIndex,82.79,2025-04-25 04:04:15
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:15
temperature,25.54,2025-04-25 04:04:16
Humidity,53.24,2025-04-25 04:04:16
Illuminance,265,2025-04-25 04:04:16
AtmosphericPressure,1010.128,2025-04-25 04:04:16
Noise,90.13,2025-04-25 04:04:16
eTVOC,102,2025-04-25 04:04:16
eCO2,1074,2025-04-25 04:04:16
DiscomfortIndex,82.77,2025-04-25 04:04:16
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:16
temperature,25.54,2025-04-25 04:04:17
Humidity,53.24,2025-04-25 04:04:17
Illuminance,265,2025-04-25 04:04:17
AtmosphericPressure,1010.128,2025-04-25 04:04:17
Noise,90.13,2025-04-25 04:04:17
eTVOC,102,2025-04-25 04:04:17
eCO2,1074,2025-04-25 04:04:17
DiscomfortIndex,82.77,2025-04-25 04:04:17
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:17
temperature,25.54,2025-04-25 04:04:18
Humidity,53.24,2025-04-25 04:04:18
Illuminance,265,2025-04-25 04:04:18
AtmosphericPressure,1010.128,2025-04-25 04:04:18
Noise,90.13,2025-04-25 04:04:18
eTVOC,102,2025-04-25 04:04:18
eCO2,1074,2025-04-25 04:04:18
DiscomfortIndex,82.77,2025-04-25 04:04:18
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:18
temperature,25.5,2025-04-25 04:04:19
Humidity,53.27,2025-04-25 04:04:19
Illuminance,265,2025-04-25 04:04:19
AtmosphericPressure,1010.133,2025-04-25 04:04:19
Noise,53.02,2025-04-25 04:04:19
eTVOC,101,2025-04-25 04:04:19
eCO2,1065,2025-04-25 04:04:19
DiscomfortIndex,82.78,2025-04-25 04:04:19
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:19
temperature,25.5,2025-04-25 04:04:20
Humidity,53.27,2025-04-25 04:04:20
Illuminance,265,2025-04-25 04:04:20
AtmosphericPressure,1010.133,2025-04-25 04:04:20
Noise,53.02,2025-04-25 04:04:20
eTVOC,101,2025-04-25 04:04:20
eCO2,1065,2025-04-25 04:04:20
DiscomfortIndex,82.78,2025-04-25 04:04:20
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:20
temperature,25.5,2025-04-25 04:04:21
Humidity,53.27,2025-04-25 04:04:21
Illuminance,265,2025-04-25 04:04:21
AtmosphericPressure,1010.133,2025-04-25 04:04:21
Noise,53.02,2025-04-25 04:04:21
eTVOC,101,2025-04-25 04:04:21
eCO2,1065,2025-04-25 04:04:21
DiscomfortIndex,82.78,2025-04-25 04:04:21
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:21
temperature,25.57,2025-04-25 04:04:22
Humidity,53.15,2025-04-25 04:04:22
Illuminance,262,2025-04-25 04:04:22
AtmosphericPressure,1010.128,2025-04-25 04:04:22
Noise,50.78,2025-04-25 04:04:22
eTVOC,103,2025-04-25 04:04:22
eCO2,1081,2025-04-25 04:04:22
DiscomfortIndex,82.78,2025-04-25 04:04:22
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:22
temperature,25.57,2025-04-25 04:04:23
Humidity,53.15,2025-04-25 04:04:23
Illuminance,262,2025-04-25 04:04:23
AtmosphericPressure,1010.128,2025-04-25 04:04:23
Noise,50.78,2025-04-25 04:04:23
eTVOC,103,2025-04-25 04:04:23
eCO2,1081,2025-04-25 04:04:23
DiscomfortIndex,82.78,2025-04-25 04:04:23
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:23
temperature,25.57,2025-04-25 04:04:24
Humidity,53.15,2025-04-25 04:04:24
Illuminance,262,2025-04-25 04:04:24
AtmosphericPressure,1010.128,2025-04-25 04:04:24
Noise,50.78,2025-04-25 04:04:24
eTVOC,103,2025-04-25 04:04:24
eCO2,1081,2025-04-25 04:04:24
DiscomfortIndex,82.78,2025-04-25 04:04:24
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:24
temperature,25.56,2025-04-25 04:04:25
Humidity,53.1,2025-04-25 04:04:25
Illuminance,265,2025-04-25 04:04:25
AtmosphericPressure,1010.136,2025-04-25 04:04:25
Noise,51.34,2025-04-25 04:04:25
eTVOC,102,2025-04-25 04:04:25
eCO2,1074,2025-04-25 04:04:25
DiscomfortIndex,82.77,2025-04-25 04:04:25
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:25
temperature,25.56,2025-04-25 04:04:26
Humidity,53.1,2025-04-25 04:04:26
Illuminance,265,2025-04-25 04:04:26
AtmosphericPressure,1010.136,2025-04-25 04:04:26
Noise,51.34,2025-04-25 04:04:26
eTVOC,102,2025-04-25 04:04:26
eCO2,1074,2025-04-25 04:04:26
DiscomfortIndex,82.77,2025-04-25 04:04:26
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:26
temperature,25.56,2025-04-25 04:04:27
Humidity,53.1,2025-04-25 04:04:27
Illuminance,265,2025-04-25 04:04:27
AtmosphericPressure,1010.136,2025-04-25 04:04:27
Noise,51.34,2025-04-25 04:04:27
eTVOC,102,2025-04-25 04:04:27
eCO2,1074,2025-04-25 04:04:27
DiscomfortIndex,82.77,2025-04-25 04:04:27
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:27
temperature,25.54,2025-04-25 04:04:28
Humidity,53.14,2025-04-25 04:04:28
Illuminance,262,2025-04-25 04:04:28
AtmosphericPressure,1010.137,2025-04-25 04:04:28
Noise,51.52,2025-04-25 04:04:28
eTVOC,102,2025-04-25 04:04:28
eCO2,1074,2025-04-25 04:04:28
DiscomfortIndex,82.78,2025-04-25 04:04:28
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:28
temperature,25.54,2025-04-25 04:04:29
Humidity,53.14,2025-04-25 04:04:29
Illuminance,262,2025-04-25 04:04:29
AtmosphericPressure,1010.137,2025-04-25 04:04:29
Noise,51.52,2025-04-25 04:04:29
eTVOC,102,2025-04-25 04:04:29
eCO2,1074,2025-04-25 04:04:29
DiscomfortIndex,82.78,2025-04-25 04:04:29
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:29
temperature,25.54,2025-04-25 04:04:30
Humidity,53.14,2025-04-25 04:04:30
Illuminance,262,2025-04-25 04:04:30
AtmosphericPressure,1010.137,2025-04-25 04:04:30
Noise,51.52,2025-04-25 04:04:30
eTVOC,102,2025-04-25 04:04:30
eCO2,1074,2025-04-25 04:04:30
DiscomfortIndex,82.78,2025-04-25 04:04:30
HeatstrokeRiskLevel,27.85,2025-04-25 04:04:30
temperature,25.54,2025-04-25 04:04:31
Humidity,53.19,2025-04-25 04:04:31
Illuminance,265,2025-04-25 04:04:31
AtmosphericPressure,1010.138,2025-04-25 04:04:31
Noise,49.58,2025-04-25 04:04:31
eTVOC,101,2025-04-25 04:04:31
eCO2,1065,2025-04-25 04:04:31
DiscomfortIndex,82.75,2025-04-25 04:04:31
HeatstrokeRiskLevel,27.82,2025-04-25 04:04:31
temperature,25.54,2025-04-25 04:04:32
Humidity,53.19,2025-04-25 04:04:32
Illuminance,265,2025-04-25 04:04:32
AtmosphericPressure,1010.138,2025-04-25 04:04:32
Noise,49.58,2025-04-25 04:04:32
eTVOC,101,2025-04-25 04:04:32
eCO2,1065,2025-04-25 04:04:32
DiscomfortIndex,82.75,2025-04-25 04:04:32
HeatstrokeRiskLevel,27.82,2025-04-25 04:04:32
temperature,25.54,2025-04-25 04:04:33
Humidity,53.19,2025-04-25 04:04:33
Illuminance,265,2025-04-25 04:04:33
AtmosphericPressure,1010.138,2025-04-25 04:04:33
Noise,49.58,2025-04-25 04:04:33
eTVOC,101,2025-04-25 04:04:33
eCO2,1065,2025-04-25 04:04:33
DiscomfortIndex,82.75,2025-04-25 04:04:33
HeatstrokeRiskLevel,27.82,2025-04-25 04:04:33
temperature,25.52,2025-04-25 04:04:34
Humidity,53.2,2025-04-25 04:04:34
Illuminance,265,2025-04-25 04:04:34
AtmosphericPressure,1010.137,2025-04-25 04:04:34
Noise,47.95,2025-04-25 04:04:34
eTVOC,103,2025-04-25 04:04:34
eCO2,1081,2025-04-25 04:04:34
DiscomfortIndex,82.76,2025-04-25 04:04:34
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:34
temperature,25.52,2025-04-25 04:04:35
Humidity,53.2,2025-04-25 04:04:35
Illuminance,265,2025-04-25 04:04:35
AtmosphericPressure,1010.137,2025-04-25 04:04:35
Noise,47.95,2025-04-25 04:04:35
eTVOC,103,2025-04-25 04:04:35
eCO2,1081,2025-04-25 04:04:35
DiscomfortIndex,82.76,2025-04-25 04:04:35
HeatstrokeRiskLevel,27.84,2025-04-25 04:04:35
temperature,25.52,2025-04-25 04:04:36
Humidity,53.2,2025-04-25 04:04:36
Illuminance,265,2025-04-25 04:04:36
AtmosphericPressure,1010.137,2025-04-25 04:04:36
Noise,47.95,2025-04-25 04:04:36
